Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2010,Fluntern,1-Zimmer,405000.0,11168.0,1
2010,Fluntern,2-Zimmer,1252920.0,9079.0,2
2010,Fluntern,3-Zimmer,890000.0,9803.0,3
2010,Fluntern,4-Zimmer,1682500.0,13764.0,4
2010,Fluntern,5-Zimmer,1618130.0,11917.0,5
2010,Fluntern,6-Zimmer und mehr,3200000.0,20126.0,6
2010,Hottingen,1-Zimmer,2718750.0,13376.0,1
2010,Hottingen,2-Zimmer,1006290.0,12450.0,2
2010,Hottingen,3-Zimmer,1005450.0,12213.0,3
2010,Hottingen,4-Zimmer,2350000.0,13056.0,4
2010,Hottingen,5-Zimmer,2100000.0,15672.0,5
2010,Hottingen,6-Zimmer und mehr,3376990.0,12079.0,6
2010,Hirslanden,1-Zimmer,1092500.0,19337.5,1
2010,Hirslanden,2-Zimmer,957690.0,13908.0,2
2010,Hirslanden,3-Zimmer,1575000.0,11667.0,3
