Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2020,Altbauten (nicht umgebaut),4-Zimmer,1175000,11207,4,
2020,Total,4-Zimmer,1495000,12647,4,
2020,Neubauten (0–1 Jahre),5-Zimmer,1732500,11860,5,
2020,2–9 Jahre,5-Zimmer,2480000,15563,5,
2020,10–19 Jahre,5-Zimmer,2370000,12363,5,
2020,Altbauten (umgebaut),5-Zimmer,3200000,18841,5,
2020,Altbauten (nicht umgebaut),5-Zimmer,2200000,15684,5,
2020,Total,5-Zimmer,2100000,13848,5,
2020,Neubauten (0–1 Jahre),6-Zimmer und mehr,4780000,19590,6,
2020,2–9 Jahre,6-Zimmer und mehr,5150000,20116,6,
2020,10–19 Jahre,6-Zimmer und mehr,3725000,14127,6,
2020,Altbauten (nicht umgebaut),6-Zimmer und mehr,2550000,15346,6,
2020,Total,6-Zimmer und mehr,2562500,16445,6,
2021,Neubauten (0–1 Jahre),1-Zimmer,737500,12353,1,
2021,10–19 Jahre,1-Zimmer,1747000,13214,1,
2021,Altbauten (umgebaut),1-Zimmer,298180,9339,1,
2021,Altbauten (nicht umgebaut),1-Zimmer,320000,12161,1,
2021,Total,1-Zimmer,610000,12161,1,
2021,Neubauten (0–1 Jahre),2-Zimmer,1080000,15109,2,
2021,2–9 Jahre,2-Zimmer,1330000,17273,2,
2021,10–19 Jahre,2-Zimmer,1794500,17775,2,
2021,Altbauten (umgebaut),2-Zimmer,782000,13964,2,
2021,Altbauten (nicht umgebaut),2-Zimmer,630000,11384,2,
2021,Total,2-Zimmer,817500,13550,2,
2021,Neubauten (0–1 Jahre),3-Zimmer,1215000,12500,3,
2021,2–9 Jahre,3-Zimmer,1825000,16009,3,
2021,10–19 Jahre,3-Zimmer,1360310,12365,3,
2021,Altbauten (umgebaut),3-Zimmer,1375000,13026,3,
2021,Altbauten (nicht umgebaut),3-Zimmer,970500,13005,3,
2021,Total,3-Zimmer,1195000,12761,3,
2021,Neubauten (0–1 Jahre),4-Zimmer,1465000,11259,4,
